id,listingId,vin,stockNumber,year,make,model,trim,bodyStyle,mileage,askingPrice,transmission,imageFileName,photoArchiveStatus,highlights,available,daysInStock
ncm-001,36,1GC4YVEY8LF187186,661395,2020,Chevrolet,Silverado 3500HD,High Country,Vehicle,106096,49990,,2020_Chevrolet_Silverado_3500HD_High_Country_1GC4YVEY8LF187186.jpg,saved_primary_photo_noimage_placeholder,,true,1
ncm-002,38,1FM5K8HC5PGA50113,661437,2023,Ford,Explorer,Platinum,Vehicle,29470,41500,,2023_Ford_Explorer_Platinum_1FM5K8HC5PGA50113.jpg,saved_primary_photo,,true,1
ncm-003,39,1FMDE5BH9PLB85334,661428,2023,Ford,Bronco,Outer Banks,Vehicle,31018,39990,,2023_Ford_Bronco_Outer_Banks_1FMDE5BH9PLB85334.jpg,saved_primary_photo_noimage_placeholder,,true,1
ncm-004,41,W1N4M4HB6PW268697,661287,2023,Mercedes-Benz,GLB,GLB 250,Vehicle,32163,32000,,2023_Mercedes_Benz_GLB_250_W1N4M4HB6PW268697.jpg,saved_primary_photo,,true,1
ncm-005,43,5UXCR6C0XM9D80436,52218,2021,BMW,X5,xDrive40i,Vehicle,81107,31500,,2021_BMW_X5_xDrive40i_5UXCR6C0XM9D80436.jpg,saved_primary_photo,,true,1
ncm-006,45,1GCGSDEN5N1137490,661294,2022,Chevrolet,Colorado,2WD Z71,Vehicle,14922,30990,,2022_Chevrolet_Colorado_2WD_Z71_1GCGSDEN5N1137490.jpg,saved_primary_photo,,true,1
ncm-007,47,WA1FVAF15KD041859,661412,2019,Audi,Q8,Prestige,Vehicle,83173,29500,,2019_Audi_Q8_Prestige_WA1FVAF15KD041859.jpg,saved_primary_photo,,true,1
ncm-008,49,1GC4K0E88FF101707,51303,2015,Chevrolet,Silverado 3500HD Built After Aug 14,LTZ,Vehicle,141981,28000,,2015_Chevrolet_Silverado_3500HD_Built_After_Aug_14_LTZ_1GC4K0E88FF101707.jpg,saved_primary_photo,,true,1
ncm-009,51,1C4PJMDX5MD157922,661396,2021,Jeep,Cherokee,Limited,Vehicle,30053,26500,,2021_Jeep_Cherokee_Limited_1C4PJMDX5MD157922.jpg,saved_primary_photo,,true,1
ncm-010,53,JM1BPBNY2P1608718,661266,2023,Mazda,Mazda3 Hatchback,2.5 Turbo Premium Plus,Vehicle,68921,26490,,2023_Mazda_Mazda3_Hatchback_2_5_Turbo_Premium_Plus_JM1BPBNY2P1608718.jpg,saved_primary_photo_noimage_placeholder,,true,1
ncm-011,55,W1N0G8EB5LF864959,21249,2020,Mercedes-Benz,GLC,GLC 300,Vehicle,37023,26000,Automatic,2020_Mercedes_Benz_GLC_GLC_300_W1N0G8EB5LF864959.jpg,saved_primary_photo,Tire Pressure Monitoring|Touchscreen|Remote Start,true,1
ncm-012,57,1C6RRFBG9LN370193,661084,2020,Ram,1500,Big Horn,Vehicle,79673,24490,Automatic,2020_Ram_1500_Big_Horn_1C6RRFBG9LN370193.jpg,saved_primary_photo,Fog Lights|Steering Wheel Controls|Cruise Control,true,1
ncm-013,59,JM3KFBAM7P0270171,661374,2023,Mazda,CX-5,2.5 S,Vehicle,25425,24300,Automatic,2023_Mazda_CX_5_2_5_S_JM3KFBAM7P0270171.jpg,saved_primary_photo,Steering Wheel Controls|Cruise Control|Bluetooth,true,1
ncm-014,61,2HGFC1F34KH651513,223468,2019,Honda,Civic Sedan,EX,Vehicle,17427,24000,Automatic,2019_Honda_Civic_Sedan_EX_2HGFC1F34KH651513.jpg,saved_primary_photo,Fog Lights|Heated Seats|Side Airbags,true,1
ncm-015,63,3TMCZ5AN8HM057887,661358,2017,Toyota,Tacoma,TRD Pro,Vehicle,162497,22990,Automatic,2017_Toyota_Tacoma_TRD_Pro_3TMCZ5AN8HM057887.jpg,saved_primary_photo,Fog Lights|Rearview Camera|Leather Interior,true,1
ncm-016,65,5J6RW2H58KL033678,31172,2019,Honda,CR-V,EX,Vehicle,38392,22500,Automatic,2019_Honda_CR_V_EX_5J6RW2H58KL033678.jpg,saved_primary_photo,Fog Lights|Heated Seats|Side Airbags,true,1
ncm-017,67,2T2BK1BA0FC286991,661393,2015,Lexus,RX 350,,Vehicle,90790,19990,Automatic,2015_Lexus_RX_350_2T2BK1BA0FC286991.jpg,saved_primary_photo_noimage_placeholder,Fog Lights|Rearview Camera|Side Airbags,true,1
ncm-018,69,3C7WRVLG5ME545701,661368,2021,Ram,ProMaster Cutaway,,Vehicle,137434,19990,Automatic,2021_Ram_ProMaster_Cutaway_3C7WRVLG5ME545701.jpg,saved_primary_photo,Rearview Camera|Side Airbags|Steering Wheel Controls,true,1
ncm-019,71,1C4AJWAG6JL807610,661079,2018,Jeep,Wrangler JK,Sport,Vehicle,71907,18990,Automatic,2018_Jeep_Wrangler_JK_Sport_1C4AJWAG6JL807610.jpg,saved_primary_photo,Fog Lights|Steering Wheel Controls|Cruise Control,true,1
ncm-020,73,5YFB4MDE0PP001157,52582,2023,Toyota,Corolla,LE,Vehicle,28803,18900,Automatic,2023_Toyota_Corolla_LE_5YFB4MDE0PP001157.jpg,saved_primary_photo,Side Airbags|Steering Wheel Controls|Cruise Control,true,1
ncm-021,75,5UXTR9C57KLE11171,661347,2019,BMW,X3,xDrive30i,Vehicle,93008,17990,Automatic,2019_BMW_X3_xDrive30i_5UXTR9C57KLE11171.jpg,saved_primary_photo_noimage_placeholder,Fog Lights|Steering Wheel Controls|Power Liftgate,true,1
ncm-022,77,3C7WRVKG0HE544737,661183,2017,Ram,ProMaster Cutaway,,Vehicle,182885,17100,Automatic,2017_Ram_ProMaster_Cutaway_3C7WRVKG0HE544737.jpg,saved_primary_photo_noimage_placeholder,Side Airbags|Towing Capability|Tire Pressure Monitoring,true,1
ncm-023,79,JM3KFBDM1J0413585,661307,2018,Mazda,CX-5,Grand Touring,Vehicle,87961,16995,Automatic,2018_Mazda_CX_5_Grand_Touring_JM3KFBDM1J0413585.jpg,saved_primary_photo,Fog Lights|Leather Interior|Steering Wheel Controls,true,1
ncm-024,81,2HKRW2H54HH653592,661431,2017,Honda,CR-V,EX,Vehicle,113849,16990,Automatic,2017_Honda_CR_V_EX_2HKRW2H54HH653592.jpg,saved_primary_photo,Fog Lights|Rearview Camera|Heated Seats,true,1
ncm-025,82,WA1BNAFY0J2049938,661430,2018,Audi,Q5,Premium Plus,Vehicle,84490,16990,Automatic,2018_Audi_Q5_Premium_Plus_WA1BNAFY0J2049938.jpg,saved_primary_photo_noimage_placeholder,Fog Lights|Leather Interior|Heated Seats,true,1
ncm-026,83,1FDUF5GT6BEB72547,42590,2011,Ford,Super Duty F-550 DRW,XLT,Vehicle,269867,15500,Automatic,2011_Ford_Super_Duty_F_550_DRW_XLT_1FDUF5GT6BEB72547.jpg,saved_primary_photo,Side Airbags|Steering Wheel Controls|Cruise Control,true,1
ncm-027,85,7FARW2H57JE043453,661291,2018,Honda,CR-V,EX,Vehicle,139661,15500,Automatic,2018_Honda_CR_V_EX_7FARW2H57JE043453.jpg,saved_primary_photo,Fog Lights|Rearview Camera|Heated Seats,true,1
ncm-028,87,KNMAT2MV8JP511316,661192,2018,Nissan,Rogue,SV,Vehicle,82505,14500,Automatic,2018_Nissan_Rogue_SV_KNMAT2MV8JP511316.jpg,saved_primary_photo,Heated Seats|Steering Wheel Controls|Power Liftgate,true,1
ncm-029,88,1GKKNXLS3HZ174639,661409,2017,GMC,Acadia,Denali,Vehicle,125952,13500,Automatic,2017_GMC_Acadia_Denali_1GKKNXLS3HZ174639.jpg,saved_primary_photo_noimage_placeholder,Fog Lights|Rearview Camera|Heated Seats,true,1
ncm-030,90,JM3KFBDL8H0161545,661388,2017,Mazda,CX-5,Grand Touring,Vehicle,121589,12995,Automatic,2017_Mazda_CX_5_Grand_Touring_JM3KFBDL8H0161545.jpg,saved_primary_photo,Fog Lights|Leather Interior|Steering Wheel Controls,true,1
ncm-031,92,2LMDJ8JKXFBL28188,661349,2015,Lincoln,MKX,,Vehicle,93914,12990,Automatic,2015_Lincoln_MKX_2LMDJ8JKXFBL28188.jpg,saved_primary_photo,Fog Lights|Leather Interior|Heated Seats,true,1
ncm-032,94,2FMPK4K91KBC59167,661404,2019,Ford,Edge,Titanium,Vehicle,120548,12990,Automatic,2019_Ford_Edge_Titanium_2FMPK4K91KBC59167.jpg,saved_primary_photo,Fog Lights|Leather Interior|Heated Seats,true,1
ncm-033,96,5N1AZ2MH9HN156246,61037,2017,Nissan,Murano,Platinum,Vehicle,114766,12980,Automatic,2017_Nissan_Murano_Platinum_5N1AZ2MH9HN156246.jpg,saved_primary_photo,Fog Lights|Leather Interior|Heated Seats,true,1
ncm-034,98,ZFBHRFBBXK6N09185,52220,2019,Ram,ProMaster City Cargo Van,Tradesman SLT,Vehicle,126580,12900,Automatic,2019_Ram_ProMaster_City_Cargo_Van_Tradesman_SLT_ZFBHRFBBXK6N09185.jpg,saved_primary_photo,Side Airbags|Steering Wheel Controls|Cruise Control,true,1
ncm-035,100,1G6AX5SX7E0182314,661257,2014,Cadillac,CTS Sedan,Luxury AWD,Vehicle,76004,12900,Automatic,2014_Cadillac_CTS_Sedan_Luxury_AWD_1G6AX5SX7E0182314.jpg,saved_primary_photo,Rearview Camera|Leather Interior|Heated Seats,true,1
ncm-036,102,1C4PJMDB7HW616186,661172,2017,Jeep,Cherokee,High Altitude,Vehicle,95350,12900,Automatic,2017_Jeep_Cherokee_High_Altitude_1C4PJMDB7HW616186.jpg,saved_primary_photo,Fog Lights|Side Airbags|Steering Wheel Controls,true,1
ncm-037,104,KM8J3CA22JU792123,661150,2018,Hyundai,Tucson,Limited,Vehicle,139144,12500,Automatic,2018_Hyundai_Tucson_Limited_KM8J3CA22JU792123.jpg,saved_primary_photo,Fog Lights|Heated Seats|Steering Wheel Controls,true,1
ncm-038,106,JTMBFREV8HD217946,661310,2017,Toyota,RAV4,LE,Vehicle,163760,11995,Automatic,2017_Toyota_RAV4_LE_JTMBFREV8HD217946.jpg,saved_primary_photo,Rearview Camera|Side Airbags|Steering Wheel Controls,true,1
ncm-039,108,2HGFG3B03FH503743,661283,2015,Honda,Civic Coupe,EX-L,Vehicle,123291,11990,Automatic,2015_Honda_Civic_Coupe_EX_L_2HGFG3B03FH503743.jpg,saved_primary_photo_noimage_placeholder,Fog Lights|Rearview Camera|Leather Interior,true,1
ncm-040,110,1GCHSBEA5H1313481,61086,2017,Chevrolet,Colorado,2WD Base,Vehicle,124842,11900,Automatic,2017_Chevrolet_Colorado_2WD_Base_1GCHSBEA5H1313481.jpg,saved_primary_photo,Rearview Camera|Side Airbags|Tire Pressure Monitoring,true,1
ncm-041,112,KM8JUCAG3FU987504,32209,2015,Hyundai,Tucson,Limited,Vehicle,66015,11500,Automatic,2015_Hyundai_Tucson_Limited_KM8JUCAG3FU987504.jpg,saved_primary_photo,Fog Lights|Rearview Camera|Side Airbags,true,1
ncm-042,114,1C4AJWAG7DL582439,52082,2013,Jeep,Wrangler,Sport,Vehicle,100538,11500,Automatic,2013_Jeep_Wrangler_Sport_1C4AJWAG7DL582439.jpg,saved_primary_photo,Fog Lights|Steering Wheel Controls|Cruise Control,true,1
ncm-043,116,1C4NJCEB5HD185696,661353,2017,Jeep,Compass,High Altitude,Vehicle,77896,11035,Automatic,2017_Jeep_Compass_High_Altitude_1C4NJCEB5HD185696.jpg,saved_primary_photo_noimage_placeholder,Fog Lights|Heated Seats|Side Airbags,true,1
ncm-044,118,1C4RJFBGXEC566352,52248,2014,Jeep,Grand Cherokee,Limited,Vehicle,139044,10995,Automatic,2014_Jeep_Grand_Cherokee_Limited_1C4RJFBGXEC566352.jpg,saved_primary_photo,Fog Lights|Heated Seats|Steering Wheel Controls,true,1
ncm-045,120,1FTFX1CF6EFB15928,661317,2014,Ford,F-150,Lariat,Vehicle,156813,10995,Automatic,2014_Ford_F_150_Lariat_1FTFX1CF6EFB15928.jpg,saved_primary_photo,Fog Lights|Heated Seats|Steering Wheel Controls,true,1
ncm-046,122,4S4BSBNC2G3273205,661130,2016,Subaru,Outback,2.5i Limited,Vehicle,132267,10990,Automatic,2016_Subaru_Outback_2_5i_Limited_4S4BSBNC2G3273205.jpg,saved_primary_photo,Fog Lights|Rearview Camera|Steering Wheel Controls,true,1
ncm-047,124,1GTSKWE38AZ226230,61147,2010,GMC,Sierra 1500,SLT,Vehicle,105307,10990,Automatic,2010_GMC_Sierra_1500_SLT_1GTSKWE38AZ226230.jpg,saved_primary_photo,Fog Lights|Rearview Camera|Heated Seats,true,1
ncm-048,126,JTEBU5JR3A5006110,A5006110,2010,Toyota,4Runner,Limited,Vehicle,276302,10990,Automatic,2010_Toyota_4Runner_Limited_JTEBU5JR3A5006110.jpg,saved_primary_photo,Fog Lights|Rearview Camera|Leather Interior,true,1
ncm-049,128,5NPE34AF1JH716076,661298,2018,Hyundai,Sonata,SEL,Vehicle,125154,10990,Automatic,2018_Hyundai_Sonata_SEL_5NPE34AF1JH716076.jpg,saved_primary_photo,Heated Seats|Side Airbags|Steering Wheel Controls,true,1
ncm-050,130,5N1AL0MM6FC522921,661422,2015,INFINITI,QX60,,Vehicle,118977,10500,Automatic,2015_INFINITI_QX60_5N1AL0MM6FC522921.jpg,saved_primary_photo,Fog Lights|Leather Interior|Heated Seats,true,1
ncm-051,132,WMWZC5C51EWP36742,661231,2014,MINI,Cooper Countryman,S,Vehicle,74788,10490,Automatic,2014_MINI_Cooper_Countryman_S_WMWZC5C51EWP36742.jpg,saved_primary_photo,Fog Lights|Leather Interior|Steering Wheel Controls,true,1
ncm-052,134,2T3DK4DVXBW055532,661300,2011,Toyota,RAV4,Ltd,Vehicle,127675,10400,Automatic,2011_Toyota_RAV4_Ltd_2T3DK4DVXBW055532.jpg,saved_primary_photo,Fog Lights|Side Airbags|Steering Wheel Controls,true,1
ncm-053,136,3FA6P0T92JR140610,661435,2018,Ford,Fusion,SE,Vehicle,130628,10300,Automatic,2018_Ford_Fusion_SE_3FA6P0T92JR140610.jpg,saved_primary_photo,Rearview Camera|Side Airbags|Steering Wheel Controls,true,1
ncm-054,137,3GNCJKSB7LL206385,661188,2020,Chevrolet,Trax,LS,Vehicle,106868,10000,Automatic,2020_Chevrolet_Trax_LS_3GNCJKSB7LL206385.jpg,saved_primary_photo,Rearview Camera|Steering Wheel Controls|Bluetooth,true,1
